exams,probability,instance_seed,solver_seed,solver,slots,time,max_time
15,0.8,2,1,code1,7,0.003600,60
15,0.8,2,1,code2,7,0.003752,60
15,0.8,2,2,code1,7,0.013766,60
15,0.8,2,2,code2,7,0.009919,60
15,0.8,2,3,code1,7,0.005946,60
15,0.8,2,3,code2,7,0.006354,60
15,0.8,3,0,code1,7,0.007503,60
15,0.8,3,0,code2,7,0.010283,60
15,0.8,3,1,code1,7,0.007410,60
15,0.8,3,1,code2,7,0.007900,60
15,0.8,3,2,code1,7,0.003606,60
15,0.8,3,2,code2,7,0.003620,60
15,0.8,3,3,code1,7,0.021646,60
15,0.8,3,3,code2,7,0.019949,60
20,0.2,0,0,code1,3,0.002841,60
20,0.2,0,0,code2,3,0.002755,60
20,0.2,0,1,code1,3,0.002920,60
20,0.2,0,1,code2,3,0.002745,60
20,0.2,0,2,code1,3,0.028395,60
20,0.2,0,2,code2,3,0.025188,60
20,0.2,0,3,code1,3,0.001226,60
20,0.2,0,3,code2,3,0.001130,60
20,0.2,1,0,code1,3,0.000418,60
20,0.2,1,0,code2,3,0.000281,60
20,0.2,1,1,code1,3,0.000405,60
20,0.2,1,1,code2,3,0.000283,60
20,0.2,1,2,code1,3,0.001931,60
20,0.2,1,2,code2,3,0.001685,60
20,0.2,1,3,code1,3,0.000334,60
20,0.2,1,3,code2,3,0.000155,60
20,0.2,2,0,code1,4,0.002618,60
20,0.2,2,0,code2,4,0.002026,60
20,0.2,2,1,code1,4,0.002118,60
20,0.2,2,1,code2,4,0.002604,60
20,0.2,2,2,code1,4,0.002065,60
20,0.2,2,2,code2,4,0.001886,60
20,0.2,2,3,code1,4,0.001636,60
20,0.2,2,3,code2,4,0.001414,60
20,0.2,3,0,code1,3,0.000314,60
20,0.2,3,0,code2,3,0.000098,60
20,0.2,3,1,code1,3,0.000334,60
20,0.2,3,1,code2,3,0.000100,60
20,0.2,3,2,code1,3,0.001055,60
20,0.2,3,2,code2,3,0.000781,60
20,0.2,3,3,code1,3,0.000364,60
20,0.2,3,3,code2,3,0.000064,60
20,0.4,0,0,code1,5,0.067096,60
20,0.4,0,0,code2,5,0.064990,60
20,0.4,0,1,code1,5,0.060878,60
20,0.4,0,1,code2,5,0.062849,60
20,0.4,0,2,code1,5,0.125573,60
20,0.4,0,2,code2,5,0.124919,60
20,0.4,0,3,code1,5,0.007399,60
20,0.4,0,3,code2,5,0.008745,60
20,0.4,1,0,code1,5,0.017571,60
20,0.4,1,0,code2,5,0.012643,60
20,0.4,1,1,code1,5,0.012478,60
20,0.4,1,1,code2,5,0.012459,60
20,0.4,1,2,code1,5,0.003492,60
20,0.4,1,2,code2,5,0.003552,60
20,0.4,1,3,code1,5,0.000557,60
20,0.4,1,3,code2,5,0.000466,60
20,0.4,2,0,code1,6,0.158505,60
20,0.4,2,0,code2,6,0.158371,60
20,0.4,2,1,code1,6,0.153642,60
20,0.4,2,1,code2,6,0.157669,60
20,0.4,2,2,code1,6,0.229723,60
20,0.4,2,2,code2,6,0.236997,60
20,0.4,2,3,code1,6,0.083936,60
20,0.4,2,3,code2,6,0.083325,60
20,0.4,3,0,code1,4,0.000412,60
20,0.4,3,0,code2,4,0.000296,60
20,0.4,3,1,code1,4,0.000406,60
20,0.4,3,1,code2,4,0.000296,60
20,0.4,3,2,code1,4,0.001717,60
20,0.4,3,2,code2,4,0.001562,60
20,0.4,3,3,code1,4,0.000318,60
20,0.4,3,3,code2,4,0.000214,60
20,0.6,0,0,code1,7,0.997197,60
20,0.6,0,0,code2,7,1.031383,60
20,0.6,0,1,code1,7,1.008621,60
20,0.6,0,1,code2,7,1.017892,60
20,0.6,0,2,code1,7,0.250966,60
